task,location,canonical_file_count,has_window_date_mentions,window_dates,source_paths
planning/archive/20260425-210011-plan-location-consolidation,archive,3,False,,planning/archive/20260425-210011-plan-location-consolidation/findings.md | planning/archive/20260425-210011-plan-location-consolidation/progress.md | planning/archive/20260425-210011-plan-location-consolidation/task_plan.md
planning/archive/20260425-210011-planning-entry-rule-clarification,archive,3,False,,planning/archive/20260425-210011-planning-entry-rule-clarification/findings.md | planning/archive/20260425-210011-planning-entry-rule-clarification/progress.md | planning/archive/20260425-210011-planning-entry-rule-clarification/task_plan.md
planning/archive/20260425-210011-readme-upstream-credit-release-1-0-3,archive,3,False,,planning/archive/20260425-210011-readme-upstream-credit-release-1-0-3/findings.md | planning/archive/20260425-210011-readme-upstream-credit-release-1-0-3/progress.md | planning/archive/20260425-210011-readme-upstream-credit-release-1-0-3/task_plan.md
planning/archive/20260425-212230-agent-safety-harness,archive,3,False,,planning/archive/20260425-212230-agent-safety-harness/findings.md | planning/archive/20260425-212230-agent-safety-harness/progress.md | planning/archive/20260425-212230-agent-safety-harness/task_plan.md
planning/archive/20260425-212230-codex-hook-rationale-review,archive,3,False,,planning/archive/20260425-212230-codex-hook-rationale-review/findings.md | planning/archive/20260425-212230-codex-hook-rationale-review/progress.md | planning/archive/20260425-212230-codex-hook-rationale-review/task_plan.md
planning/archive/20260425-212230-copilot-instructions-path,archive,3,False,,planning/archive/20260425-212230-copilot-instructions-path/findings.md | planning/archive/20260425-212230-copilot-instructions-path/progress.md | planning/archive/20260425-212230-copilot-instructions-path/task_plan.md
planning/archive/20260425-212230-cross-ide-companion-plan-patch,archive,3,False,,planning/archive/20260425-212230-cross-ide-companion-plan-patch/findings.md | planning/archive/20260425-212230-cross-ide-companion-plan-patch/progress.md | planning/archive/20260425-212230-cross-ide-companion-plan-patch/task_plan.md
planning/archive/20260425-212230-cross-ide-hooks-projection,archive,3,False,,planning/archive/20260425-212230-cross-ide-hooks-projection/findings.md | planning/archive/20260425-212230-cross-ide-hooks-projection/progress.md | planning/archive/20260425-212230-cross-ide-hooks-projection/task_plan.md
planning/archive/20260425-212230-global-auto-apply-adoption,archive,3,False,,planning/archive/20260425-212230-global-auto-apply-adoption/findings.md | planning/archive/20260425-212230-global-auto-apply-adoption/progress.md | planning/archive/20260425-212230-global-auto-apply-adoption/task_plan.md
planning/archive/20260425-212230-harness-init-skill-projection-audit,archive,3,False,,planning/archive/20260425-212230-harness-init-skill-projection-audit/findings.md | planning/archive/20260425-212230-harness-init-skill-projection-audit/progress.md | planning/archive/20260425-212230-harness-init-skill-projection-audit/task_plan.md
planning/archive/20260425-212231-installer-platform-hardening,archive,3,False,,planning/archive/20260425-212231-installer-platform-hardening/findings.md | planning/archive/20260425-212231-installer-platform-hardening/progress.md | planning/archive/20260425-212231-installer-platform-hardening/task_plan.md
planning/archive/20260425-212231-superpowers-plan-artifact-model,archive,3,False,,planning/archive/20260425-212231-superpowers-plan-artifact-model/findings.md | planning/archive/20260425-212231-superpowers-plan-artifact-model/progress.md | planning/archive/20260425-212231-superpowers-plan-artifact-model/task_plan.md
planning/archive/20260425-212231-workflow-constraints-audit,archive,3,False,,planning/archive/20260425-212231-workflow-constraints-audit/findings.md | planning/archive/20260425-212231-workflow-constraints-audit/progress.md | planning/archive/20260425-212231-workflow-constraints-audit/task_plan.md
planning/archive/20260425-212322-archive-eligibility-review,archive,3,False,,planning/archive/20260425-212322-archive-eligibility-review/findings.md | planning/archive/20260425-212322-archive-eligibility-review/progress.md | planning/archive/20260425-212322-archive-eligibility-review/task_plan.md
planning/archive/20260506-141631-audit-superpowers-plan-sync,archive,3,False,,planning/archive/20260506-141631-audit-superpowers-plan-sync/findings.md | planning/archive/20260506-141631-audit-superpowers-plan-sync/progress.md | planning/archive/20260506-141631-audit-superpowers-plan-sync/task_plan.md
planning/archive/20260506-141631-codex-stop-hook-json-analysis,archive,3,False,,planning/archive/20260506-141631-codex-stop-hook-json-analysis/findings.md | planning/archive/20260506-141631-codex-stop-hook-json-analysis/progress.md | planning/archive/20260506-141631-codex-stop-hook-json-analysis/task_plan.md
planning/archive/20260506-141631-harness-adoption-governance-plan,archive,3,False,,planning/archive/20260506-141631-harness-adoption-governance-plan/findings.md | planning/archive/20260506-141631-harness-adoption-governance-plan/progress.md | planning/archive/20260506-141631-harness-adoption-governance-plan/task_plan.md
planning/archive/20260506-141631-projection-health-analysis,archive,3,False,,planning/archive/20260506-141631-projection-health-analysis/findings.md | planning/archive/20260506-141631-projection-health-analysis/progress.md | planning/archive/20260506-141631-projection-health-analysis/task_plan.md
planning/archive/20260506-142310-backup-skills-duplicate-analysis,archive,3,False,,planning/archive/20260506-142310-backup-skills-duplicate-analysis/findings.md | planning/archive/20260506-142310-backup-skills-duplicate-analysis/progress.md | planning/archive/20260506-142310-backup-skills-duplicate-analysis/task_plan.md
planning/archive/20260506-142310-companion-plan-sync-constraints,archive,3,False,,planning/archive/20260506-142310-companion-plan-sync-constraints/findings.md | planning/archive/20260506-142310-companion-plan-sync-constraints/progress.md | planning/archive/20260506-142310-companion-plan-sync-constraints/task_plan.md
planning/archive/20260506-142310-copilot-global-safety-adoption,archive,3,False,,planning/archive/20260506-142310-copilot-global-safety-adoption/findings.md | planning/archive/20260506-142310-copilot-global-safety-adoption/progress.md | planning/archive/20260506-142310-copilot-global-safety-adoption/task_plan.md
planning/archive/20260506-142310-copilot-pretool-guard-regression-fix,archive,3,False,,planning/archive/20260506-142310-copilot-pretool-guard-regression-fix/findings.md | planning/archive/20260506-142310-copilot-pretool-guard-regression-fix/progress.md | planning/archive/20260506-142310-copilot-pretool-guard-regression-fix/task_plan.md
planning/archive/20260506-142310-copilot-usage-billing-impact-analysis,archive,3,False,,planning/archive/20260506-142310-copilot-usage-billing-impact-analysis/findings.md | planning/archive/20260506-142310-copilot-usage-billing-impact-analysis/progress.md | planning/archive/20260506-142310-copilot-usage-billing-impact-analysis/task_plan.md
planning/archive/20260506-142310-github-actions-upstream-automation-analysis,archive,3,False,,planning/archive/20260506-142310-github-actions-upstream-automation-analysis/findings.md | planning/archive/20260506-142310-github-actions-upstream-automation-analysis/progress.md | planning/archive/20260506-142310-github-actions-upstream-automation-analysis/task_plan.md
planning/archive/20260506-142311-align-local-main-with-dev,archive,3,False,,planning/archive/20260506-142311-align-local-main-with-dev/findings.md | planning/archive/20260506-142311-align-local-main-with-dev/progress.md | planning/archive/20260506-142311-align-local-main-with-dev/task_plan.md
planning/archive/20260506-142311-audit-pr-41-merge,archive,3,False,,planning/archive/20260506-142311-audit-pr-41-merge/findings.md | planning/archive/20260506-142311-audit-pr-41-merge/progress.md | planning/archive/20260506-142311-audit-pr-41-merge/task_plan.md
planning/archive/20260506-142311-cleanup-local-branches-worktrees,archive,3,False,,planning/archive/20260506-142311-cleanup-local-branches-worktrees/findings.md | planning/archive/20260506-142311-cleanup-local-branches-worktrees/progress.md | planning/archive/20260506-142311-cleanup-local-branches-worktrees/task_plan.md
planning/archive/20260506-142311-codex-startup-hook-json-fix,archive,3,False,,planning/archive/20260506-142311-codex-startup-hook-json-fix/findings.md | planning/archive/20260506-142311-codex-startup-hook-json-fix/progress.md | planning/archive/20260506-142311-codex-startup-hook-json-fix/task_plan.md
planning/archive/20260506-142311-finishing-branch-base-alignment-analysis,archive,3,False,,planning/archive/20260506-142311-finishing-branch-base-alignment-analysis/findings.md | planning/archive/20260506-142311-finishing-branch-base-alignment-analysis/progress.md | planning/archive/20260506-142311-finishing-branch-base-alignment-analysis/task_plan.md
planning/archive/20260506-142311-git-execution-authorization-analysis,archive,3,False,,planning/archive/20260506-142311-git-execution-authorization-analysis/findings.md | planning/archive/20260506-142311-git-execution-authorization-analysis/progress.md | planning/archive/20260506-142311-git-execution-authorization-analysis/task_plan.md
planning/archive/20260506-142311-planning-record-time-utc8,archive,3,False,,planning/archive/20260506-142311-planning-record-time-utc8/findings.md | planning/archive/20260506-142311-planning-record-time-utc8/progress.md | planning/archive/20260506-142311-planning-record-time-utc8/task_plan.md
planning/archive/20260506-142311-verify-worktree-naming-regressions,archive,3,False,,planning/archive/20260506-142311-verify-worktree-naming-regressions/findings.md | planning/archive/20260506-142311-verify-worktree-naming-regressions/progress.md | planning/archive/20260506-142311-verify-worktree-naming-regressions/task_plan.md
planning/archive/20260506-155212-companion-plan-warning-governance,archive,3,False,,planning/archive/20260506-155212-companion-plan-warning-governance/findings.md | planning/archive/20260506-155212-companion-plan-warning-governance/progress.md | planning/archive/20260506-155212-companion-plan-warning-governance/task_plan.md
